"","pclass","survived","nationality","name","age","fare","cabin","embarked","boat","body","gender"
"81",3,"survived","other","Baclini, Miss. Marie Catherine",5,19.2583,NA,"C","C",NA,"F"
"82",3,"survived","other","Baclini, Mrs. Solomon (Latifa Qurban)",24,19.2583,NA,"C","C",NA,"F"
"83",3,"survived","British","Badman, Miss. Emily Louisa",18,8.05,NA,"S","C",NA,"F"
"84",3,"died","other","Badt, Mr. Mohamed",40,7.225,NA,"C",NA,NA,"M"
"85",2,"died","British","Bailey, Mr. Percy Andrew",18,11.5,NA,"S",NA,NA,"M"
"86",2,"died","other","Baimbrigge, Mr. Charles Robert",23,10.5,NA,"S",NA,NA,"M"
"87",3,"died","other","Balkic, Mr. Cerin",26,7.8958,NA,"S",NA,NA,"M"
"88",2,"survived","British","Ball, Mrs. (Ada E Hall)",36,13,"D","S","10",NA,"F"
"89",2,"died","British","Banfield, Mr. Frederick James",28,10.5,NA,"S",NA,NA,"M"
"90",3,"survived","other","Barah, Mr. Hanna Assi",20,7.2292,NA,"C","15",NA,"M"
"91",3,"died","other","Barbara, Miss. Saiide",18,14.4542,NA,"C",NA,NA,"F"
"92",3,"died","other","Barbara, Mrs. (Catherine David)",45,14.4542,NA,"C",NA,NA,"F"
"93",1,"survived","other","Barber, Miss. Ellen ""Nellie""",26,78.85,NA,"S","6",NA,"F"
"94",1,"survived","British","Barkworth, Mr. Algernon Henry Wilson",80,30,"A23","S","B",NA,"M"
"95",3,"died","American","Barry, Miss. Julia",27,7.8792,NA,"Q",NA,NA,"F"
"96",3,"died","British","Barton, Mr. David John",22,8.05,NA,"S",NA,NA,"M"
"97",2,"died","American","Bateman, Rev. Robert James",51,12.525,NA,"S",NA,174,"M"
"98",1,"died","American","Baumann, Mr. John D",NA,25.925,NA,"S",NA,NA,"M"
"99",1,"died","other","Baxter, Mr. Quigg Edmond",24,247.5208,"B58 B60","C",NA,NA,"M"
"100",1,"survived","other","Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,247.5208,"B58 B60","C","6",NA,"F"
"101",1,"survived","other","Bazzani, Miss. Albina",32,76.2917,"D15","C","8",NA,"F"
"102",2,"survived","American","Beane, Mr. Edward",32,26,NA,"S","13",NA,"M"
"103",2,"survived","British","Beane, Mrs. Edward (Ethel Clarke)",19,26,NA,"S","13",NA,"F"
"104",1,"died","other","Beattie, Mr. Thomson",36,75.2417,"C6","C","A",NA,"M"
"105",2,"died","British","Beauchamp, Mr. Henry James",28,26,NA,"S",NA,NA,"M"
"106",3,"died","British","Beavan, Mr. William Thomas",19,8.05,NA,"S",NA,NA,"M"
"107",2,"survived","other","Becker, Master. Richard F",1,39,"F4","S","11",NA,"M"
"108",2,"survived","other","Becker, Miss. Marion Louise",4,39,"F4","S","11",NA,"F"
"109",2,"survived","other","Becker, Miss. Ruth Elizabeth",12,39,"F4","S","13",NA,"F"
"110",2,"survived","other","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36,39,"F4","S","11",NA,"F"
"111",1,"survived","American","Beckwith, Mr. Richard Leonard",37,52.5542,"D35","S","5",NA,"M"
"112",1,"survived","American","Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,52.5542,"D35","S","5",NA,"F"
"113",2,"survived","British","Beesley, Mr. Lawrence",34,13,"D56","S","13",NA,"M"
"114",1,"survived","American","Behr, Mr. Karl Howell",26,30,"C148","C","5",NA,"M"
"115",3,"died","other","Bengtsson, Mr. John Viktor",26,7.775,NA,"S",NA,NA,"M"
"116",2,"survived","American","Bentham, Miss. Lilian W",19,13,NA,"S","12",NA,"F"
"117",3,"died","other","Berglund, Mr. Karl Ivar Sven",22,9.35,NA,"S",NA,NA,"M"
"118",2,"died","British","Berriman, Mr. William John",23,13,NA,"S",NA,NA,"M"
"119",3,"died","other","Betros, Master. Seman",NA,7.2292,NA,"C",NA,NA,"M"
"120",3,"died","other","Betros, Mr. Tannous",20,4.0125,NA,"C",NA,NA,"M"
"121",1,"survived","other","Bidois, Miss. Rosalie",42,227.525,NA,"C","4",NA,"F"
"122",3,"survived","other","Bing, Mr. Lee",32,56.4958,NA,"S","C",NA,"M"
"123",1,"survived","other","Bird, Miss. Ellen",29,221.7792,"C97","S","8",NA,"F"
"124",3,"died","other","Birkeland, Mr. Hans Martin Monsen",21,7.775,NA,"S",NA,NA,"M"
"125",1,"died","other","Birnbaum, Mr. Jakob",25,26,NA,"C",NA,148,"M"
"126",1,"survived","American","Bishop, Mr. Dickinson H",25,91.0792,"B49","C","7",NA,"M"
"127",1,"survived","American","Bishop, Mrs. Dickinson H (Helen Walton)",19,91.0792,"B49","C","7",NA,"F"
"128",1,"survived","other","Bissette, Miss. Amelia",35,135.6333,"C99","S","8",NA,"F"
"129",3,"died","other","Bjorklund, Mr. Ernst Herbert",18,7.75,NA,"S",NA,NA,"M"
"130",1,"survived","other","Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,26.55,"C52","S","D",NA,"M"
"131",1,"died","American","Blackwell, Mr. Stephen Weart",45,35.5,"T","S",NA,NA,"M"
"132",1,"survived","American","Blank, Mr. Henry",40,31,"A31","C","7",NA,"M"
"133",1,"survived","American","Bonnell, Miss. Caroline",30,164.8667,"C7","S","8",NA,"F"
"134",1,"survived","British","Bonnell, Miss. Elizabeth",58,26.55,"C103","S","8",NA,"F"
"135",1,"died","British","Borebank, Mr. John James",42,26.55,"D22","S",NA,NA,"M"
"136",3,"died","other","Bostandyeff, Mr. Guentcho",26,7.8958,NA,"S",NA,NA,"M"
"137",2,"died","American","Botsford, Mr. William Hull",26,13,NA,"S",NA,NA,"M"
"138",3,"died","other","Boulos, Master. Akar",6,15.2458,NA,"C",NA,NA,"M"
"139",3,"died","other","Boulos, Miss. Nourelain",9,15.2458,NA,"C",NA,NA,"F"
"140",3,"died","other","Boulos, Mr. Hanna",NA,7.225,NA,"C",NA,NA,"M"
"141",3,"died","other","Boulos, Mrs. Joseph (Sultana)",NA,15.2458,NA,"C",NA,NA,"F"
"142",3,"died","other","Bourke, Miss. Mary",NA,7.75,NA,"Q",NA,NA,"F"
"143",3,"died","other","Bourke, Mr. John",40,15.5,NA,"Q",NA,NA,"M"
"144",3,"died","other","Bourke, Mrs. John (Catherine)",32,15.5,NA,"Q",NA,NA,"F"
"145",1,"survived","American","Bowen, Miss. Grace Scott",45,262.375,NA,"C","4",NA,"F"
"146",3,"died","other","Bowen, Mr. David John ""Dai""",21,16.1,NA,"S",NA,NA,"M"
"147",2,"died","other","Bowenur, Mr. Solomon",42,13,NA,"S",NA,NA,"M"
"148",1,"survived","British","Bowerman, Miss. Elsie Edith",22,55,"E33","S","6",NA,"F"
"149",2,"died","American","Bracken, Mr. James H",27,13,NA,"S",NA,NA,"M"
"150",3,"survived","other","Bradley, Miss. Bridget Delia",22,7.725,NA,"Q","13",NA,"F"
"151",1,"survived","other","Bradley, Mr. George (""George Arthur Brayton"")",NA,26.55,NA,"S","9",NA,"M"
"152",1,"died","American","Brady, Mr. John Bertram",41,30.5,"A21","S",NA,NA,"M"
"153",3,"died","other","Braf, Miss. Elin Ester Maria",20,7.8542,NA,"S",NA,NA,"F"
"154",1,"died","American","Brandeis, Mr. Emil",48,50.4958,"B10","C",NA,208,"M"
"155",3,"died","British","Braund, Mr. Lewis Richard",29,7.0458,NA,"S",NA,NA,"M"
"156",3,"died","British","Braund, Mr. Owen Harris",22,7.25,NA,"S",NA,NA,"M"
"157",1,"died","American","Brewe, Dr. Arthur Jackson",NA,39.6,NA,"C",NA,NA,"M"
"158",3,"died","other","Brobeck, Mr. Karl Rudolf",22,7.7958,NA,"S",NA,NA,"M"
"159",3,"died","British","Brocklebank, Mr. William Alfred",35,8.05,NA,"S",NA,NA,"M"
"160",2,"survived","British","Brown, Miss. Amelia ""Mildred""",24,13,"F33","S","11",NA,"F"
"161",2,"survived","other","Brown, Miss. Edith Eileen",15,39,NA,"S","14",NA,"F"
"162",2,"died","other","Brown, Mr. Thomas William Solomon",60,39,NA,"S",NA,NA,"M"
"163",1,"survived","other","Brown, Mrs. James Joseph (Margaret Tobin)",44,27.7208,"B4","C","6",NA,"F"
"164",1,"survived","other","Brown, Mrs. John Murray (Caroline Lane Lamson)",59,51.4792,"C101","S","D",NA,"F"
"165",2,"survived","other","Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40,39,NA,"S","14",NA,"F"
"166",2,"survived","other","Bryhl, Miss. Dagmar Jenny Ingeborg",20,26,NA,"S","12",NA,"F"
"167",2,"died","other","Bryhl, Mr. Kurt Arnold Gottfrid",25,26,NA,"S",NA,NA,"M"
"168",3,"died","other","Buckley, Miss. Katherine",18.5,7.2833,NA,"Q",NA,299,"F"
"169",3,"survived","other","Buckley, Mr. Daniel",21,7.8208,NA,"Q","13",NA,"M"
"170",1,"survived","American","Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,76.2917,"D15","C","8",NA,"F"
"171",3,"died","other","Burke, Mr. Jeremiah",19,6.75,NA,"Q",NA,NA,"M"
"172",1,"survived","other","Burns, Miss. Elizabeth Margaret",41,134.5,"E40","C","3",NA,"F"
"173",3,"died","other","Burns, Miss. Mary Delia",18,7.8792,NA,"Q",NA,NA,"F"
"174",2,"survived","British","Buss, Miss. Kate",36,13,NA,"S","9",NA,"F"
"175",2,"died","British","Butler, Mr. Reginald Fenton",25,13,NA,"S",NA,97,"M"
"176",1,"died","American","Butt, Major. Archibald Willingham",45,26.55,"B38","S",NA,NA,"M"
"177",2,"died","British","Byles, Rev. Thomas Roussel Davids",42,13,NA,"S",NA,NA,"M"
"178",2,"survived","American","Bystrom, Mrs. (Karolina)",42,13,NA,"S",NA,NA,"F"
"179",3,"died","other","Cacic, Miss. Manda",21,8.6625,NA,"S",NA,NA,"F"
"180",3,"died","other","Cacic, Miss. Marija",30,8.6625,NA,"S",NA,NA,"F"
"181",3,"died","other","Cacic, Mr. Jego Grga",18,8.6625,NA,"S",NA,NA,"M"
"182",3,"died","other","Cacic, Mr. Luka",38,8.6625,NA,"S",NA,NA,"M"
"183",1,"died","other","Cairns, Mr. Alexander",NA,31,NA,"S",NA,NA,"M"
"184",1,"survived","American","Calderhead, Mr. Edward Pennington",42,26.2875,"E24","S","5",NA,"M"
"185",2,"survived","other","Caldwell, Master. Alden Gates",0.8333,29,NA,"S","13",NA,"M"
"186",2,"survived","other","Caldwell, Mr. Albert Francis",26,29,NA,"S","13",NA,"M"
"187",2,"survived","American","Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22,29,NA,"S","13",NA,"F"
"188",3,"died","other","Calic, Mr. Jovo",17,8.6625,NA,"S",NA,NA,"M"
"189",3,"died","other","Calic, Mr. Petar",17,8.6625,NA,"S",NA,NA,"M"
"190",2,"survived","British","Cameron, Miss. Clear Annie",35,21,NA,"S","14",NA,"F"
"191",2,"died","other","Campbell, Mr. William",NA,0,NA,"S",NA,NA,"M"
"192",3,"died","other","Canavan, Miss. Mary",21,7.75,NA,"Q",NA,NA,"F"
"193",3,"died","other","Canavan, Mr. Patrick",21,7.75,NA,"Q",NA,NA,"M"
"194",1,"survived","American","Candee, Mrs. Edward (Helen Churchill Hungerford)",53,27.4458,NA,"C","6",NA,"F"
"195",3,"died","British","Cann, Mr. Ernest Charles",21,8.05,NA,"S",NA,NA,"M"
"196",3,"died","other","Caram, Mr. Joseph",NA,14.4583,NA,"C",NA,NA,"M"
"197",3,"died","other","Caram, Mrs. Joseph (Maria Elias)",NA,14.4583,NA,"C",NA,NA,"F"
"198",2,"died","British","Carbines, Mr. William",19,13,NA,"S",NA,18,"M"
"199",1,"survived","American","Cardeza, Mr. Thomas Drake Martinez",36,512.3292,"B51 B53 B55","C","3",NA,"M"
"200",1,"survived","American","Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58,512.3292,"B51 B53 B55","C","3",NA,"F"
"201",3,"died","other","Carlsson, Mr. August Sigfrid",28,7.7958,NA,"S",NA,NA,"M"
"202",3,"died","other","Carlsson, Mr. Carl Robert",24,7.8542,NA,"S",NA,NA,"M"
"203",1,"died","other","Carlsson, Mr. Frans Olof",33,5,"B51 B53 B55","S",NA,NA,"M"
"204",3,"survived","other","Carr, Miss. Helen ""Ellen""",16,7.75,NA,"Q","16",NA,"F"
"205",3,"died","other","Carr, Miss. Jeannie",37,7.75,NA,"Q",NA,NA,"F"
"206",1,"died","other","Carrau, Mr. Francisco M",28,47.1,NA,"S",NA,NA,"M"
"207",1,"died","other","Carrau, Mr. Jose Pedro",17,47.1,NA,"S",NA,NA,"M"
"208",1,"survived","American","Carter, Master. William Thornton II",11,120,"B96 B98","S","4",NA,"M"
"209",1,"survived","American","Carter, Miss. Lucile Polk",14,120,"B96 B98","S","4",NA,"F"
"210",1,"survived","American","Carter, Mr. William Ernest",36,120,"B96 B98","S","C",NA,"M"
"211",2,"died","British","Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44,26,NA,"S",NA,NA,"F"
"212",1,"survived","American","Carter, Mrs. William Ernest (Lucile Polk)",36,120,"B96 B98","S","4",NA,"F"
"213",2,"died","other","Carter, Rev. Ernest Courtenay",54,26,NA,"S",NA,NA,"M"
"214",3,"died","British","Carver, Mr. Alfred John",28,7.25,NA,"S",NA,NA,"M"
"215",1,"died","British","Case, Mr. Howard Brown",49,26,NA,"S",NA,NA,"M"
"216",1,"survived","American","Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",NA,27.7208,NA,"C","5",NA,"F"
"217",1,"died","British","Cavendish, Mr. Tyrell William",36,78.85,"C46","S",NA,172,"M"
"218",1,"survived","British","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76,78.85,"C46","S","6",NA,"F"
"219",3,"died","other","Celotti, Mr. Francesco",24,8.05,NA,"S",NA,NA,"M"
"220",1,"died","American","Chaffee, Mr. Herbert Fuller",46,61.175,"E31","S",NA,NA,"M"
"221",1,"survived","American","Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47,61.175,"E31","S","4",NA,"F"
"222",1,"survived","American","Chambers, Mr. Norman Campbell",27,53.1,"E8","S","5",NA,"M"
"223",1,"survived","American","Chambers, Mrs. Norman Campbell (Bertha Griggs)",33,53.1,"E8","S","5",NA,"F"
"224",2,"died","American","Chapman, Mr. Charles Henry",52,13.5,NA,"S",NA,130,"M"
"225",2,"died","British","Chapman, Mr. John Henry",37,26,NA,"S",NA,17,"M"
"226",2,"died","British","Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29,26,NA,"S",NA,NA,"F"
"227",3,"died","other","Charters, Mr. David",21,7.7333,NA,"Q",NA,NA,"M"
"228",1,"survived","other","Chaudanson, Miss. Victorine",36,262.375,"B61","C","4",NA,"F"
"229",1,"survived","British","Cherry, Miss. Gladys",30,86.5,"B77","S","8",NA,"F"
"230",1,"survived","other","Chevre, Mr. Paul Romaine",45,29.7,"A9","C","7",NA,"M"
"231",1,"survived","British","Chibnall, Mrs. (Edith Martha Bowerman)",NA,55,"E33","S","6",NA,"F"
"232",3,"survived","other","Chip, Mr. Chang",32,56.4958,NA,"S","C",NA,"M"
"233",1,"died","other","Chisholm, Mr. Roderick Robert Crispin",NA,0,NA,"S",NA,NA,"M"
"234",3,"died","British","Christmann, Mr. Emil",29,8.05,NA,"S",NA,NA,"M"
"235",2,"survived","British","Christy, Miss. Julie Rachel",25,30,NA,"S","12",NA,"F"
"236",2,"survived","British","Christy, Mrs. (Alice Frances)",45,30,NA,"S","12",NA,"F"
"237",3,"died","other","Chronopoulos, Mr. Apostolos",26,14.4542,NA,"C",NA,NA,"M"
"238",3,"died","other","Chronopoulos, Mr. Demetrios",18,14.4542,NA,"C",NA,NA,"M"
"239",1,"died","American","Clark, Mr. Walter Miller",27,136.7792,"C89","C",NA,NA,"M"
"240",1,"survived","American","Clark, Mrs. Walter Miller (Virginia McDowell)",26,136.7792,"C89","C","4",NA,"F"
"241",2,"died","British","Clarke, Mr. Charles Valentine",29,26,NA,"S",NA,NA,"M"
"242",2,"survived","British","Clarke, Mrs. Charles V (Ada Maria Winfield)",28,26,NA,"S","14",NA,"F"
"243",1,"survived","British","Cleaver, Miss. Alice",22,151.55,NA,"S","11",NA,"F"
"244",1,"died","American","Clifford, Mr. George Quincy",NA,52,"A14","S",NA,NA,"M"
"245",3,"died","other","Coelho, Mr. Domingos Fernandeo",20,7.05,NA,"S",NA,NA,"M"
"246",3,"survived","British","Cohen, Mr. Gurshon ""Gus""",18,8.05,NA,"S","12",NA,"M"
"247",3,"died","other","Colbert, Mr. Patrick",24,7.25,NA,"Q",NA,NA,"M"
"248",3,"died","other","Coleff, Mr. Peju",36,7.4958,NA,"S",NA,NA,"M"
"249",3,"died","other","Coleff, Mr. Satio",24,7.4958,NA,"S",NA,NA,"M"
"250",2,"died","British","Coleridge, Mr. Reginald Charles",29,10.5,NA,"S",NA,NA,"M"
"251",2,"died","other","Collander, Mr. Erik Gustaf",28,13,NA,"S",NA,NA,"M"
"252",2,"survived","British","Collett, Mr. Sidney C Stuart",24,10.5,NA,"S","9",NA,"M"
"253",1,"died","other","Colley, Mr. Edward Pomeroy",47,25.5875,"E58","S",NA,NA,"M"
"254",2,"survived","British","Collyer, Miss. Marjorie ""Lottie""",8,26.25,NA,"S","14",NA,"F"
"255",2,"died","British","Collyer, Mr. Harvey",31,26.25,NA,"S",NA,NA,"M"
"256",2,"survived","British","Collyer, Mrs. Harvey (Charlotte Annie Tate)",31,26.25,NA,"S","14",NA,"F"
"257",1,"survived","American","Compton, Miss. Sara Rebecca",39,83.1583,"E49","C","14",NA,"F"
"258",1,"died","American","Compton, Mr. Alexander Taylor Jr",37,83.1583,"E52","C",NA,NA,"M"
"259",1,"survived","American","Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",64,83.1583,"E45","C","14",NA,"F"
"260",3,"died","American","Conlon, Mr. Thomas Henry",31,7.7333,NA,"Q",NA,NA,"M"
"261",3,"died","other","Connaghton, Mr. Michael",31,7.75,NA,"Q",NA,NA,"M"
"262",3,"survived","other","Connolly, Miss. Kate",22,7.75,NA,"Q","13",NA,"F"
"263",3,"died","other","Connolly, Miss. Kate",30,7.6292,NA,"Q",NA,NA,"F"
"264",3,"died","other","Connors, Mr. Patrick",70.5,7.75,NA,"Q",NA,171,"M"
"265",3,"died","other","Cook, Mr. Jacob",43,8.05,NA,"S",NA,NA,"M"
"266",2,"survived","other","Cook, Mrs. (Selena Rogers)",22,10.5,"F33","S","14",NA,"F"
"267",3,"died","other","Cor, Mr. Bartol",35,7.8958,NA,"S",NA,NA,"M"
"268",3,"died","other","Cor, Mr. Ivan",27,7.8958,NA,"S",NA,NA,"M"
"269",3,"died","other","Cor, Mr. Liudevit",19,7.8958,NA,"S",NA,NA,"M"
"270",2,"died","American","Corbett, Mrs. Walter H (Irene Colvin)",30,13,NA,"S",NA,NA,"F"
"271",2,"died","other","Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",NA,21,NA,"S",NA,NA,"F"
"272",3,"died","British","Corn, Mr. Harry",30,8.05,NA,"S",NA,NA,"M"
"273",1,"survived","American","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",55,25.7,"C101","S","2",NA,"F"
"274",2,"died","British","Cotterill, Mr. Henry ""Harry""",21,11.5,NA,"S",NA,NA,"M"
"275",3,"survived","British","Coutts, Master. Eden Leslie ""Neville""",9,15.9,NA,"S","2",NA,"M"
"276",3,"survived","British","Coutts, Master. William Loch ""William""",3,15.9,NA,"S","2",NA,"M"
